word,SUBTLwf,nLet,nSyll,nPhon,coltNOrth,coltNPhon,old20,pld20,posBigram,isHomograph,isHomophone,WNsensecount
lined,6.47058823529412,5,1,4,5,15,1.45,1.2,194,0,0,9
linen,2.92156862745098,5,2,5,3,1,1.75,2,144,0,0,3
liner,1.2156862745098,5,2,4,9,10,1.3,1.55,224,0,0,4
lines,38.4313725490196,5,1,4,12,16,1.05,1.25,267,0,0,36
lineup,2.82352941176471,6,2,5,0,0,2.4,2.9,96,0,0,2
linger,1.45098039215686,6,2,5,5,3,1.55,1.75,470,1,0,5
lingerie,2.82352941176471,8,3,6,0,0,2.8,2.95,121,0,0,1
lingo,1.15686274509804,5,2,5,2,3,1.9,2.1,115,0,0,1
lining,4.52941176470588,6,2,5,4,9,1.75,1.55,365,0,0,10
link,11.9411764705882,4,1,4,14,10,1.2,1.05,103,0,0,13
linked,4.29411764705882,6,1,5,1,1,1.7,1.65,468,0,0,5
linking,1.31372549019608,7,2,6,2,2,1.65,1.7,846,0,0,4
links,2.76470588235294,5,1,5,3,4,1.7,1.65,160,0,0,14
lint,1.33333333333333,4,1,4,10,8,1.35,1.35,102,0,0,2
lion,15.3529411764706,4,2,4,3,1,1.7,1.55,44,0,0,4
lions,6.33333333333333,5,2,5,0,0,1.85,1.7,92,0,0,4
lip,10.7450980392157,3,1,3,16,25,1,1,17,0,0,5
lips,31.1764705882353,4,1,4,6,12,1.35,1.2,51,0,0,5
lipstick,8.80392156862745,8,2,7,0,0,3.35,3.45,205,0,0,3
liquid,7.74509803921569,6,2,6,0,0,2.65,2.55,50,1,0,11
liquor,17.2941176470588,6,2,4,0,11,2.9,1.2,70,0,0,3
list,80.5882352941177,4,1,4,9,17,1.3,1,78,0,0,7
listed,5.56862745098039,6,2,6,3,2,1.75,1.8,487,1,0,6
listen,544.78431372549,6,2,5,1,3,1.85,1.65,270,0,0,3
listened,14.6470588235294,8,2,6,1,3,2.15,1.75,493,0,0,3
listener,1.41176470588235,8,3,6,1,2,2.6,2.65,327,1,0,1
listeners,1.74509803921569,9,3,7,0,0,2.8,2.85,268,1,0,1
listening,62.843137254902,9,3,7,0,0,2.6,2.1,588,1,0,4
listens,5.47058823529412,7,2,6,0,4,1.95,1.75,275,0,0,3
listing,1.88235294117647,7,2,6,2,2,1.75,1.75,931,0,0,7
lists,3.88235294117647,5,1,5,3,4,1.7,1.6,146,1,0,7
lit,9.72549019607843,3,1,3,16,26,1,1,16,0,0,9
liter,1.74509803921569,5,2,4,3,10,1.5,1,198,0,0,1
literal,1.35294117647059,7,3,6,2,2,2.35,2.15,184,0,0,5
literally,14.4901960784314,9,4,7,0,0,2.75,2.45,267,1,0,2
literary,2.54901960784314,8,4,7,0,0,2.65,3.75,233,0,0,3
literature,6.3921568627451,10,4,7,0,0,3.55,4.3,189,0,0,4
liters,2.74509803921569,6,2,5,0,4,1.7,1.55,217,0,0,1
lithium,1.17647058823529,7,3,6,0,0,3.65,2.65,99,0,0,1
litigation,1.45098039215686,10,4,9,0,0,2.85,2.85,494,0,0,1
litter,3.92156862745098,6,2,4,6,11,1.55,1,508,0,0,7
little,1446.39215686275,6,2,5,0,0,2,1.55,219,0,0,10
